order_book_id,symbol,abbrev_symbol,round_lot,sector_code,sector_code_name,industry_code,industry_name,listed_date,issue_price,de_listed_date,type,exchange,board_type,status,special_type,trading_hours,market_tplus
603215.XSHG,比依股份,BYGF,100,ConsumerDiscretionary,非必须消费品,C38,电气机械和器材制造业,2022-02-18,12.5,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603216.XSHG,梦天家居,MTJJ,100,ConsumerDiscretionary,非必须消费品,C21,家具制造业,2021-12-15,16.86,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603217.XSHG,元利科技,YLKJ,100,Materials,原材料,C26,化学原料和化学制品制造业,2019-06-20,54.96,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603218.XSHG,日月股份,RYGF,100,Industrials,工业,C34,通用设备制造业,2016-12-28,23.9,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603219.XSHG,富佳股份,FJGF,100,ConsumerDiscretionary,非必须消费品,C38,电气机械和器材制造业,2021-11-22,9.56,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603220.XSHG,中贝通信,ZBTX,100,InformationTechnology,信息技术,I65,软件和信息技术服务业,2018-11-15,7.85,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603221.XSHG,爱丽家居,ALJJ,100,ConsumerDiscretionary,非必须消费品,C29,橡胶和塑料制品业,2020-03-23,12.9,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603222.XSHG,济民医疗,JMYL,100,HealthCare,医疗保健,C27,医药制造业,2015-02-17,7.36,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603223.XSHG,恒通股份,HTGF,100,Industrials,工业,G54,道路运输业,2015-06-30,8.31,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603225.XSHG,新凤鸣,XFM,100,Materials,原材料,C28,化学纤维制造业,2017-04-18,26.68,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603226.XSHG,菲林格尔,FLGE,100,Materials,原材料,C20,木材加工和木、竹、藤、棕、草制品业,2017-06-15,17.56,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603227.XSHG,雪峰科技,XFKJ,100,Materials,原材料,C26,化学原料和化学制品制造业,2015-05-15,4.98,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603228.XSHG,景旺电子,JWDZ,100,InformationTechnology,信息技术,C39,计算机、通信和其他电子设备制造业,2017-01-06,23.16,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603229.XSHG,奥翔药业,AXYY,100,HealthCare,医疗保健,C27,医药制造业,2017-05-09,7.81,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603230.XSHG,内蒙新华,NMXH,100,Industrials,工业,R85,新闻和出版业,2021-12-24,11.15,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603232.XSHG,格尔软件,GERJ,100,InformationTechnology,信息技术,I65,软件和信息技术服务业,2017-04-21,18.1,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603233.XSHG,大参林,DSL,100,ConsumerStaples,必需消费品,F52,零售业,2017-07-31,24.72,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603235.XSHG,天新药业,TXYY,100,HealthCare,医疗保健,C14,食品制造业,2022-07-12,36.88,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603236.XSHG,移远通信,YYTX,100,InformationTechnology,信息技术,C39,计算机、通信和其他电子设备制造业,2019-07-16,43.93,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603237.XSHG,五芳斋,WFZ,100,ConsumerStaples,必需消费品,C14,食品制造业,2022-08-31,34.32,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603238.XSHG,诺邦股份,NBGF,100,ConsumerDiscretionary,非必须消费品,C17,纺织业,2017-02-22,13.31,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
603239.XSHG,浙江仙通,ZJXT,100,ConsumerDiscretionary,非必须消费品,C36,汽车制造业,2016-12-30,21.84,0000-00-00,CS,XSHG,MainBoard,Active,Normal,"09:31-11:30,13:01-15:00",1
